Номер:;id в телеграме:;Название трека:;Исполнитель:
1;CQACAgIAAxkBAAIDcWRijcWKVuMAAczdqOoiQgLGW-K0fgAC7DwAAqxREEvJrez9sQhx5i8E;Новогодняя;Nensi
2;CQACAgIAAxkBAAIB62RiZNuO5nwIMjIIFe0tRK21ourKAAKlOwACrFEQS-wI2tSuidwyLwQ;Черный кот;Неизвестный
3;CQACAgIAAxkBAAID6WRiljh4Gh-OpAqqPVzho7j6WrRbAAIxPQACrFEQS0uJuhbKzRknLwQ;Штрихи;Burito
4;CQACAgIAAxkBAAIECmRilvxaTZhyAo-2mwWqZ0NWfPG2AAI0PQACrFEQSz9c5gkTFycMLwQ;Прекрасное далеко;Неизвестный
5;CQACAgIAAxkBAAIEMGRimb9bJ9IU_Kk8O2jc8PqiaLsbAAJBPQACrFEQS5aD3B-V8IIZLwQ;Снов осколки;Alekseev
6;CQACAgIAAxkBAAIEOWRimiFzMsV6-sbJ09bKvDYUXkFCAAJCPQACrFEQSww-WYbA9W6ZLwQ;Здесь и сейчас;Artik & Asti
7;CQACAgIAAxkBAAIEQmRimn6n3BJk9-p2oMjjMYgtBWpkAAJEPQACrFEQS1QVUdFzCLTaLwQ;Далеко;Centr
8;CQACAgIAAxkBAAIES2RimqR2K5RvX1A1I_p_UYG2Rh_dAAJFPQACrFEQS9qbgozpluU-LwQ;140;IOWA
9;CQACAgIAAxkBAAIEVGRimtR_eTBnRgl3sPaZVsGJCeNIAAJGPQACrFEQSyKPIhvCxop9LwQ;Выпускной;Баста
10;CQACAgIAAxkBAAIEX2Rimv1lD45dF26ycO33-xODMghyAAJHPQACrFEQS0s3ZhUQKOagLwQ;Голос;Баста
11;CQACAgIAAxkBAAIEaGRimyNNw3NF_7jI87FqmmxzvYxsAAJJPQACrFEQS0aEYsmjCdhMLwQ;Навернопотомучто;Время и Стекло
12;CQACAgIAAxkBAAIEuWRjSUBJAotIyQUq35-Deocuw9zZAAKdKwACrFEYS9RovwdZsf3pLwQ;Весь день льет дождь;Батырхан Шукенов
13;CQACAgIAAxkBAAIFOmRjdXnlOHy7g4-QgnB32jO3WjNBAAKzLQACrFEYS-1LUkBR9euoLwQ;Белые ангелы;Алиса Кожикина
14;CQACAgIAAxkBAAIF2mRkkcUnBwnDVIn68VEF_TKMZmhiAALqLAACMNEhS0wV8-N9fBa2LwQ;Романс;Сплин
15;CQACAgIAAxkBAAIF72Rkk0HGjTEwBOohT7mLAAHxfBPkyQAC9iwAAjDRIUuPIaz9ZatsoC8E;Too much light;Выжить после
16;CQACAgIAAxkBAAIGEGRk_0k8mgoVplf0tLpmbcTSEPvVAALzGwAC6kiASWavckJtMGBCLwQ;Месяц май;Юля Паршута
17;CQACAgIAAxkBAAIGGWRk_3FeYgsJO78Vt2fzEp7xDDxeAAI9KAACCHBJSnNZgQIZc0DWLwQ;Опера 2;Vitas
18;CQACAgIAAxkBAAIGImRk_4sQG3mhEGJ7ekoOr8xhuLKXAAJVKgACaUhRSpHwoagQQHqmLwQ;Непогода;Алла Пугачева
19;CQACAgIAAxkBAAIGNmRlBaQh2mFnYLy2s94QjLGdl0xEAAKULAACMNEpSwM4SelsD7_lLwQ;Опера 1;Vitas
20;CQACAgIAAxkBAAIHOmRxs6MqMwABXzwbnGzcoorLlE4TTAACpjcAAr8UaErU19PSMGNBKy8E;Инстинктивно;ARTEMIEV
21;CQACAgIAAxkBAAIHT2Rxs_kb0AqvRoTrD-UoSD6TaX9TAAJ_LQAC1PZZSy9c0PG4BGckLwQ;Лететь;Амега
22;CQACAgIAAxkBAAIHfmRxxrpe-e6l28ZeqcFU2PSxKmvuAAIlEgAC8ksQSjafQL0Z_6XVLwQ;Я у бабушки живу;Верасы
23;CQACAgIAAxkBAAIHh2RxzcDv-KSh5aPkzPN0J_wWrJ2NAAILMAACSO2ASmz3-Wx54Y5xLwQ;Зеленоглазое такси;Михаил Боярский
24;CQACAgIAAxkBAAIIP2R0g5myBsMpAzIRSJ-WS67n19pmAAKlMAACcyCpS8h52iIMNM2mLwQ;Танцы на стеклах;Олень (Маска)
25;CQACAgIAAxkBAAIJNWR0v0Cene4dpbu4FVWCNcsm4042AAI3NAACcyCpSzU0c38XwkjDLwQ;Танцы на стеклах;Максим Фадеев
26;CQACAgIAAxkBAAIJTWR07Cvh70wfJXEk2UY7HjLbTSpcAAJwNgACcyCpS8K00VqJcEVrLwQ;Сто шагов назад;Валерий Меладзе
27;CQACAgIAAxkBAAIJVmR07v9nIic3c7fx1iqZBIYc1nJ3AAKTNgACcyCpSxRUsfuTtCT_LwQ;Не отвернусь;Наталья Подольская
28;CQACAgIAAxkBAAIJX2R078ZX-dekXvthLP-KMK9rkyUBAAKlNgACcyCpS6T1O_C1MfkLLwQ;Живи спокойно, страна;Алла Пугачева
